yrmon,month,feb44,dec44,jan45,sep45,madv,msales,madvl1,madvl2,madvl3,madvl4,msalesl1,msalesl2,msalesl3,msalesl4,c220,s220,c348,s348,c432,s432
5108,8,0,0,0,0,107200,129800,10600,9500,12500,51300,120100,113300,130200,150600,0.87630668,0.4817536741,0.8994052516,0.4371157667,0.5775727034,-0.816339251
5109,9,0,0,0,0,71800,148100,107200,10600,9500,12500,129800,120100,113300,130200,-0.309016994,0.9510565163,-0.87630668,0.4817536741,-0.187381315,0.9822872507
5110,10,0,0,0,0,134400,186000,71800,107200,10600,9500,148100,129800,120100,113300,-0.992114701,-0.125333234,0.1128563849,-0.993611311,-0.236498997,-0.971631733
5111,11,0,0,0,0,22200,142600,134400,71800,107200,10600,186000,148100,129800,120100,-0.06279052,-0.998026728,0.7459411454,0.6660118674,0.6178596131,0.7862884321
5112,12,0,0,0,0,5700,116800,22200,134400,71800,107200,142600,186000,148100,129800,0.9685831611,-0.248689887,-0.974526873,0.2242707609,-0.888136449,-0.459579861
5201,1,0,0,0,0,114700,151800,5700,22200,134400,71800,116800,142600,186000,148100,0.4257792916,0.9048270525,0.3797790955,-0.925077207,0.9987369566,0.0502443182
5202,2,0,0,0,0,132100,165800,114700,5700,22200,134400,151800,116800,142600,186000,-0.809016994,0.5877852523,0.535826795,0.8443279255,-0.929776486,0.3681245527
5203,3,0,0,0,0,122200,177600,132100,114700,5700,22200,165800,151800,116800,142600,-0.728968627,-0.684547106,-0.998736957,-0.050244318,0.6936533058,-0.720309025
5204,4,0,0,0,0,111000,161100,122200,132100,114700,5700,177600,165800,151800,116800,0.535826795,-0.844327926,0.6178596131,-0.786288432,-0.332819545,0.9429905359
5205,5,0,0,0,0,60500,160100,111000,122200,132100,114700,161100,177600,165800,151800,0.9297764859,0.3681245527,0.2850192625,0.958521789,-0.087851197,-0.996133609
5206,6,0,0,0,0,4400,142000,60500,111000,122200,132100,160100,161100,177600,165800,-0.187381315,0.9822872507,-0.947098305,-0.32094361,0.4927273415,0.8701837547
5207,7,0,0,0,0,5000,141100,4400,60500,111000,122200,142000,160100,161100,177600,-1,5.877067e-15,0.8090169944,-0.587785252,-0.809016994,-0.587785252
5208,8,0,0,0,0,49700,135200,5000,4400,60500,111000,141100,142000,160100,161100,-0.187381315,-0.982287251,0.0125660399,0.9999210442,0.9798550524,0.1997099805
5209,9,0,0,0,0,108900,172900,49700,5000,4400,60500,135200,141100,142000,160100,0.9297764859,-0.368124553,-0.823532598,-0.567268949,-0.974526873,0.2242707609
5210,10,0,0,0,0,130400,174600,108900,49700,5000,4400,172900,135200,141100,142000,0.535826795,0.8443279255,0.9387338577,-0.344642923,0.7939903986,-0.607930298
5211,11,0,0,0,0,64100,146400,130400,108900,49700,5000,174600,172900,135200,141100,-0.728968627,0.6845471059,-0.260841506,0.9653816388,-0.470703932,0.8822912264
5212,12,0,0,0,0,16900,137100,64100,130400,108900,49700,146400,174600,172900,135200,-0.809016994,-0.587785252,-0.63742399,-0.770513243,0.0627905195,-0.998026728
